Protein_group_ID,r_sq_DMSO,k_computed_DMSO,r_sq_CHX,k_computed_CHX,FC_k,Gene names
1141,0.9999772648829522,0.2143681855699787,0.9999819475668532,0.0947795523049365,2.261755625098195,Neo1
1169,0.950405906413787,0.0325267002923115,0.9847387592700018,0.0140772644070496,2.310583885603712,Nop2
1198,0.9946049750275212,0.053703004397333,0.9994118803520606,0.0296816534488803,1.8092996230760476,Ube2j1
1210,0.9808449938907824,0.0469344315910831,0.9723742548796124,0.0328807973361313,1.4274116017104264,Paip1
1213,0.995147409680512,0.0327125242313803,0.9949121489218572,0.0187746200902606,1.7423800894032488,Rps18;Gm10260
1217,0.9291896686439696,0.0308947704326115,0.9946193133803328,0.0174584946517575,1.769612503761967,Rps12
1239,0.94281998553421,0.0552011443922206,0.9652880895627942,0.0406820998973889,1.356890242427323,Iqgap3
1247,0.9635396925524948,0.1928470331944577,0.9815710546145986,0.1187134931485858,1.624474422238455,Lamc1
1252,0.9960839637789446,0.2728380807730641,0.99169071137782,0.1865748875373598,1.4623515756826113,Kctd10
1258,0.9849104372050752,0.080888117640634,0.9993659435910758,0.0446925004154913,1.809881230377448,Prrc2b
1268,0.963403859409424,0.1328675397335738,0.9997921998060496,0.091802504748348,1.4473193307502294,Diaph3;Diap3
1274,0.9781017688314796,0.0902739489965868,0.9417783619380032,0.047916821612656,1.883971973899522,Ddx24
1277,0.9965417784419472,0.0345164965083644,0.9987429454831364,0.0150278043660811,2.296842284310725,Sf3a2
1291,0.996691692186883,0.0305423413776104,0.9947071972721584,0.0152486362389983,2.0029556019900676,Prps1;Prps1l3
1292,0.9818933370352828,0.0351505520678245,0.9965320094339192,0.0203458164975452,1.7276550229412295,Gps1
1298,0.9049728700983448,0.0549804507052113,0.9994332832036636,0.0325650563277558,1.688326596209522,Gtf2i
1305,0.973581748517639,0.1839355015648385,0.9863233962331388,0.1221220441211052,1.506161339573014,H2-D1;H2-L;H2-Q6;H2-Q7;H2-Q8;H2-Q1;H2-T23;H2-M5;H2-Bl
1324,0.9992231581385208,0.0423493576773217,0.999276784586881,0.0197598480529154,2.1432025977079014,Zkscan2
1325,0.9904373719510704,0.0375237075439498,0.986306114692974,0.0201779845118088,1.8596360564153336,Supt16h;Supt16
1326,0.9799384977507486,0.1721372179149985,0.9728193086455568,0.0989831869791329,1.7390551180301714,Atad2
1332,0.9892277678374756,0.0484993398314633,0.9945348730538444,0.029117419752946,1.6656468960151014,Dap3
1346,0.915862166000662,0.0488859712842384,0.9688043341754144,0.027384367069471,1.7851780601764609,Sf3b1
1354,0.98676102156834,0.0973234775474669,0.9683263560646612,0.0449118306766933,2.1669897681987007,Gprc5a
1355,0.9532407920950892,0.0395382074933828,0.9402567663128324,0.0263992329619711,1.4977028897142122,Tmtc3
1387,0.9487944563674224,0.057387989029381,0.9966923071737248,0.0153676889604419,3.7343278600382863,Tcof1
1396,0.9988056656255117,0.0287581304343852,0.9508872920446692,0.0146915598777549,1.9574592945660643,Srsf1
1398,0.9888578429580576,0.07123841407263,0.9919797130199598,0.0483024152315476,1.4748416560773194,Son
1402,0.982312448744622,0.0533098766879495,0.970655965586084,0.023043863558649,2.3134087976293727,Rpl10;Rpl10l
1422,0.9274245717779152,0.0604430252933318,0.9938212364898692,0.0362435685288457,1.6676896825219107,Hk2
1425,0.96625343698031,0.0372727732200957,0.990615488191034,0.0131023089433031,2.844748462380495,Dpysl2
1427,0.9911779705537695,0.0325959711748084,0.9999132929751312,0.0190816322002216,1.7082381021068969,Gtpbp1
1428,0.9939907489355172,0.0363316714552174,0.9944375832859056,0.0174825818536632,2.078163955377373,Alyref
1435,0.977158786211827,0.0299369895603673,0.9649193796208232,0.0176141474561211,1.69959912252034,Dld
1451,0.9891979105860248,0.0912268501668111,0.9825379973445796,0.0562801263145253,1.620942526976284,Degs1
1452,0.9932972974900552,0.0306036367132117,0.9955612835848836,0.0141518127865418,2.1625241355874483,Psmb1
1454,0.9999999624086608,0.0544084626893752,0.984159361819118,0.0288159029862654,1.8881401257947061,Map2k3
1462,0.9934765126531532,0.027182733815598,0.9592381754930012,0.0135124575463479,2.011679498149088,Phb2
1473,0.9987883183040492,0.0338252947551115,0.991937921287246,0.0231052471206873,1.4639659371929417,Kpna4
1475,0.9977579419493648,0.0414799218978508,0.9317512355082438,0.0267839490435863,1.548685812922856,Kpna6
1483,0.990177887517652,0.0487709165550094,0.9987481221618124,0.0375806384179695,1.2977671111539493,Fkbp8
1489,0.9558024180566272,0.1007256351067521,0.9615744013695224,0.0521724702196107,1.9306280627075068,Cd151
1490,0.9876490018916289,0.0305819357566262,0.9997863741063244,0.0155722428035718,1.9638748343694996,Psmd14
1497,0.9800070856533828,0.0333576778081624,0.9983738532164088,0.0158566637559042,2.103700899613371,Ap1b1
1504,0.9794730697365006,0.0324221893039184,0.997626490094574,0.0181933795527862,1.7820872262818894,Hnrnph1
1511,0.9940484964938612,0.0161183442664874,0.9913268036734132,0.0101539992889136,1.5873887527336965,Aldh1a7
1544,0.9678696434100208,0.0359691291196178,0.9910279856197728,0.0186559225223107,1.928027363782314,Atp2a2;Atp2a1;Atp2a3
1547,0.9999970644733732,0.0606355570573218,0.9954861365388744,0.0389667920072131,1.5560828575803114,Ilk
1555,0.9797154644890476,0.0444266898764224,0.9845863844020668,0.0229290143638152,1.9375752124144145,Eif3d
1557,0.991812873764268,0.0326548907689401,0.9999764765387265,0.0201512323892075,1.6204910021497865,Eef1b;Eef1b2
1561,0.9493399903226536,0.0546639804112504,0.9576682066400496,0.02726130819142,2.0051855188833123,Epb41l2;Epb4.1l2
1580,0.986308879272618,0.1955303886714998,0.9744396477631349,0.1657727818036414,1.1795084002578082,Col5a1
1584,0.9766776168573634,0.0390529700704149,0.9523858809482852,0.0186879571839336,2.0897399157137144,Wdr1
1589,0.9666078330750656,0.0296891534390955,0.961348851021234,0.0150634457930023,1.9709403709533413,Igf2bp1
1594,0.9810857822382936,0.0306163492945484,0.9818888191293724,0.0159859412072812,1.9152046725033252,Cops3
1595,0.9955148092261656,0.0299819156796264,0.996262585044333,0.0149595839648322,2.004194484960913,Cops4
1604,0.971467692567493,0.0350991633947748,0.9940510699198298,0.0224941901992529,1.5603657248323857,Psmc3
1622,0.9858105417214802,0.0643949126209634,0.9896909654500708,0.0662919861848544,0.9713830634278925,Yme1l1
1625,0.999509525737311,0.2232828760581581,0.995534365670326,0.1281901754762175,1.7418095827443711,Cpd
1630,0.9707618378145656,0.035410774558952,0.9766056834275229,0.0164015405894785,2.1589907585673886,Cope
1635,0.9956923682728512,0.0289889607498689,0.9867576653329772,0.0218897209242074,1.324318425540574,Mtco2
1639,0.9233770782837936,0.0406016259787314,0.9951445969214716,0.0391253282986345,1.037732531439191,Mtnd5
1642,0.957432335887252,0.1287953374181879,0.9629027073427112,0.0740848026503084,1.7384852602783003,Tk1
1643,0.9903849226409738,0.0335930903112714,0.970259609600622,0.0147643899278138,2.2752779136500094,Aldoa;Aldoart1
1646,0.9369058394225034,0.0267168099557935,0.9788113779434826,0.0151978789424175,1.757930172823426,Got2
1651,0.9873138529555928,0.031017619840228,0.9890000458814668,0.0133818459482403,2.317887977503342,Gpi
1665,0.9947359353579556,0.0277483831645428,0.9940813133329388,0.0139439980102141,1.9899876021365515,Mdh2
1667,0.9744042391689104,0.0960868905236223,0.9503963514182918,0.0622002892757172,1.5447981294378696,Itgb1
1670,0.954771081123758,0.0268356937763856,0.9822445321955622,0.0108008602388762,2.484588558955169,Pgk1
1672,0.9303455396738358,0.0612788548586279,0.9670882923708384,0.0231419087898061,2.6479602618441285,Fth1
1681,0.981545906567488,0.0337433756985779,0.9765233569940088,0.0165877297730334,2.0342371234811387,Anxa1
1683,0.9389861588261308,0.228574062605967,0.9175439009768456,0.2438866406287292,0.9372143632661181,Nid1
1684,0.9665775196943398,0.0272976043932334,0.9962182031937056,0.0156385343403534,1.7455347028778228,Alad
1689,0.997330640628562,0.0384354759167602,0.9903934796961348,0.0187392722597531,2.051065558149194,Tcea1
1692,0.9919059525826884,0.0172166141554359,0.979323087999705,0.0095305231363462,1.8064710519171334,Hist1h2bc;Hist1h2bh;Hist1h2bf;Hist1h2bk;Hist1h2br;Hist1h2bm;Hist1h2bb;Hist2h2bb;Hist1h2bp;Hist3h2ba;Hist3h2bb;Hist2h2be
1693,0.9080972282473604,0.0268386119368591,0.9969501508194052,0.0186349488849553,1.440229973398367,H1f0
1697,0.9074449905315628,0.0934715347829784,0.9150419151427484,0.0741441953134139,1.2606723208454305,Fn1
1698,0.9999520428185296,0.0288051539498188,0.9980302537109024,0.0166555635272707,1.7294613840387434,Lamp1
1699,0.9848868204559016,0.0560391533242841,0.9999960853231696,0.0350128433012388,1.6005313490864468,Cdk1
1710,0.9818533878161269,0.03384935612173,0.9920539018633951,0.0136922152094056,2.4721606843046,Gsn
1711,0.9887077299728836,0.0279003632471063,0.9882049937841104,0.0183220732340244,1.522773263196812,Umps
1716,0.9875249656496032,0.0322247871012699,0.9975408761284604,0.0191967722896585,1.678656526994891,Rps16
1719,0.9842829350108524,0.031577559481048,0.9864319503521564,0.0168242472858861,1.8769077120935143,Rpsa
1720,0.9351555824273338,0.0279526400106859,0.9801401499447532,0.0144501742107044,1.934415433550908,Calr
1725,0.9915205975217128,0.0313034497783685,0.9345168893930772,0.0183010668376841,1.7104713105528322,Rplp0
1726,0.9496016805530568,0.0408727281925414,0.9990571322625554,0.0171547334329514,2.382591857360585,Map1b
1727,0.9930717206988912,0.1400208538860844,0.999806445383152,0.0829860498132884,1.6872818287063849,Hmox1
1730,0.999932872030786,0.0237628804247302,0.9991071753559496,0.0178415618555817,1.3318834201332,Nme1
1733,0.978326965531392,0.023949568728181,0.9947212365901126,0.0136656259745047,1.7525409207644462,Hist1h1c
1734,0.9928498095908436,0.0294109110251534,0.9949294089206144,0.0178866809554737,1.6442911403388702,Lgals1
1735,0.9651375150236268,0.0397206949956058,0.994531250585328,0.0235106375601082,1.689477577715804,Lgals3
1738,0.9668892842140178,0.0323630599604207,0.9876319503534814,0.0166024722907281,1.9492916111351883,Lamp2
1741,0.993951158348132,0.0289649829032781,0.9927965288103686,0.0148680273258609,1.9481389338649837,Ptbp1
1746,0.9622998222199768,0.0290930880670022,0.9942079580916936,0.0102170613870476,2.8475005644856126,Tpi1
1747,0.9883378553430736,0.0783300552354407,0.9822194148744272,0.0382429337939859,2.0482229647286876,Slc2a1
1749,0.9787018971187236,0.0297038154975234,0.9973975129151194,0.0126459249933515,2.3488843649744844,Pcna
1755,0.986276605097042,0.03346309776773,0.9044616286342928,0.0155471050199982,2.1523684135848127,Cfl1
1759,0.9805105037847373,0.0272172685729615,0.9369087577848138,0.0184482167633145,1.4753333030585831,Rpl13a
1760,0.9325630711397086,0.0309682132357276,0.9524741725929156,0.0191169373720074,1.6199359046430635,Serpinh1
1764,0.9187979061444042,0.0378446396170132,0.98225520156221,0.0157703371211013,2.399735612904283,Hspa5
1766,0.9163337534534366,0.0973629733727216,0.9495105354863737,0.0530308110315418,1.8359699103001046,Prdx3
1768,0.9374600416619246,0.0458295610599731,0.9966462557538464,0.0326955518879008,1.4017062998998535,Prim1
1770,0.9994980757686136,0.0425691073902992,0.9915168586293222,0.0243260715264507,1.7499376068187633,Gna11
1771,0.9999863618717244,0.0429254222275548,0.9947140320478196,0.022654525707433,1.8947835316398116,Gnaq
1772,0.99651350492258,0.0393134765615367,0.9894014208202734,0.0193602538145744,2.030628159014192,Eno3
1777,0.9777558052366232,0.0465820699378363,0.9963412873876504,0.0212005126442464,2.1972143183282027,Ptgs1
1780,0.9998111612194562,0.0323610171842591,0.9901542199605032,0.0172448765199593,1.8765583590467758,Hmbs
1782,0.983354306207963,0.1183472597680438,0.998171715559632,0.0542402085308928,2.1819101174848634,Gja1
1786,0.998445011627174,0.0327899932497482,0.9696998037521468,0.0201133738840571,1.6302582271261434,Glb1
1787,0.9464755764415672,0.3448497173574996,0.9522585776417954,0.2811214411257712,1.226693047590123,Zfp36l2
1789,0.9210874013421124,0.0405849111755747,0.9980357946636468,0.014828824751411,2.7368933044888095,Bcat1
1793,0.972829880079626,0.035554335429938,0.9776168197258568,0.0195701363330873,1.8167648311078017,Impdh2
1798,0.993021507217604,0.0305025524820841,0.9855015598747348,0.0165184608167003,1.8465735288874958,Rps2
1801,0.9564583755468684,0.0417530917773267,0.9716295805606402,0.0219129320479242,1.9054087187424995,Tln1
1804,0.9603104530199134,0.1532970902795782,0.9745615707741356,0.0790007546770095,1.94045096032722,Ctnna1
1812,0.9757423022639476,0.0638232560516975,0.94544637294733,0.0397806364343981,1.6043799640296825,Man2a1
1827,0.9943006148302904,0.0333732497147167,0.9961153939495192,0.0151618176898003,2.201137778959554,Nap1l1
1836,0.919725962968289,0.1035656368042618,0.9856960583170729,0.0808335114805652,1.2812215491734773,Hexa
1838,0.965486343847202,0.0444049434634392,0.9602545538263187,0.0252991576938017,1.7551945405011813,Oat
1841,0.994429752029964,0.0307411333444374,0.9972667086723342,0.017970125058039,1.7106799894353124,Ppic
1845,0.9622337588034828,0.0322706004980649,0.9203278886411744,0.019753818283536,1.6336386229168223,Aimp1
1846,0.980536533804004,0.0286130463498557,0.9950712641403175,0.0181652437585912,1.5751534485367553,Prkar2b
1858,0.981074596906261,0.0504364123391037,0.9876389296560334,0.0370301996812336,1.362034576461228,Prim2
1860,0.9843601264886273,0.0292578211293203,0.997907623892768,0.0129675265587965,2.25623760989896,Ranbp1
1864,0.9993904820074366,0.0410184912764397,0.9845213225245748,0.0205344655472802,1.9975436507950715,Rab6a
1869,0.952686913695634,0.0416072037649682,0.9626724509572808,0.0261396231638282,1.5917292879165876,Pdha1
1871,0.9937763410032796,0.0271836838702763,0.9928622178815528,0.0130533837795027,2.0825009307519133,Fbl
1875,0.9965347215099322,0.0303670280637779,0.989756339628892,0.013812843037964,2.1984632693150457,Prdx1
1881,0.9699423613248084,0.0338546601966289,0.9948468616619882,0.0196884389379815,1.7195197802766862,Rpl18
1885,0.9308328726558528,0.042240792518113,0.9834911020213362,0.0206232576758668,2.048211450489847,Por
1887,0.9662389522646946,0.131865228488212,0.9746407412231648,0.1385653836246565,0.9516462556435179,Fbln2
1892,0.9979871430467172,0.0428488836154962,0.9991067987595654,0.0204659301337003,2.0936690067625574,Dnm2
1901,0.992055691126124,0.0300746032974377,0.973599675412918,0.0182443992888964,1.6484293520007096,Rpl28
1906,0.9832076352574092,0.0356475168394148,0.9928845630804533,0.0152380106449197,2.3393812794913327,Eci1
1916,0.9940935379860726,0.0193036978173581,0.9945944112998004,0.0114786088480455,1.6817105690159486,Hist1h1e
1917,0.9932596895371768,0.0224326820198732,0.9777650734675124,0.0141072293564856,1.5901550512156442,Hist1h1a
1918,0.9445269872976342,0.0162777519466783,0.9756089161686556,0.007732915772621,2.104995376299192,Hist1h1b
1919,0.9914422627084812,0.0151770210823668,0.9997695430045748,0.0086237418043295,1.7599113501690489,Hist1h1d
1921,0.9081922896519684,0.1750918913690335,0.9560752514652044,0.146381862842555,1.1961310504523253,Itgav
1922,0.9930310116795916,0.1472280328150125,0.9364859185413932,0.0905031143119609,1.6267731108956418,Sdc2
1930,0.9921139134239788,0.031565281276311,0.9849680934361036,0.0140835220907094,2.2412917076427883,Nsf
1937,0.9699560419374812,0.0765074120283664,0.990980230826034,0.0431958047054395,1.771176912898953,Nedd4
1941,0.9632730015858898,0.0365483307287322,0.954397961960846,0.0168241737501419,2.172370023723985,Pla2g4a
1942,0.9856093376952164,0.0382953940383182,0.9839595490841428,0.0193637729985447,1.9776824506874937,Aldh2
1943,0.9924284305916928,0.0325745280203708,0.9980225527254966,0.0161228232307434,2.0203985092546866,Capza1
1946,0.9834821554760688,0.0487294075668083,0.9793357885710964,0.0277865236364307,1.753706516309926,Srprb
1947,0.9628582874230948,0.02625422060239,0.972707593985112,0.0131462900780371,1.997082100466634,Gsr
1952,0.9809122507000646,0.032556265617421,0.9880018691989932,0.0179855912398905,1.8101304084579657,Rpl6
1953,0.9358107476886848,0.0373431258161886,0.9930621656579268,0.0230028329617118,1.6234142063434625,Rpl29
1957,0.9780472929030016,0.0348573124271232,0.9868733678397904,0.0174620828659163,1.9961715160085576,Rpl5
1958,0.9869421649238732,0.0325500597331618,0.9940720347134562,0.018555092539926,1.7542386093263653,Rpl13
1961,0.9688684333060053,0.0340285898116489,0.9861996043124016,0.0167005030040764,2.037578736601102,Anxa5
1971,0.9922637234493552,0.0308272351053494,0.9942439455912362,0.0137690792294573,2.238874117261103,Slc25a4
1972,0.9951220529878854,0.0594821681158313,0.9995783378149272,0.0205937426558757,2.888361242042624,
1981,0.978501914496002,0.0420592784748975,0.9382121694152072,0.0265585066560736,1.5836462124755446,Mcm4
1985,0.999336905010375,0.031537749555432,0.9402431419267308,0.0272986291924317,1.1552869315568255,Cav1
1986,0.9476914088639294,0.027373830862734,0.996123926722554,0.0138113075139394,1.9819869215935053,Ahcy
2007,0.9982146658340084,0.0276585752752553,0.9876887215712272,0.014928348559707,1.8527551902096098,Slc25a5
2012,0.9840540813811725,0.1002832690455275,0.993062922597287,0.072365652125897,1.3857854672692131,Kpna2
2016,0.998783382379309,0.0280721009090031,0.9962133214222578,0.0137448354100092,2.042374468053693,Pkm
2017,0.9997377175281572,0.0282306821840214,0.9991966910423742,0.0150924872270912,1.8705122462086288,Pkm
2033,0.9865792070332102,0.0357331043886909,0.9944660536422174,0.0196341673362126,1.8199449855347805,Rab2a
2047,0.9823433726488244,0.0293019892471429,0.9999023991564644,0.0149001852825759,1.966552005323605,Psmc4
2049,0.9201763492975948,0.0516345534422974,0.9836729599723204,0.0294000825237311,1.7562723982362676,Ddx6
2058,0.9832889493334188,0.0724620358311737,0.97795113923051,0.039252048549299,1.846070167272016,Rrp1
2072,0.9997793753146448,0.0409324530002023,0.9996148735528216,0.0229871044634098,1.7806702477624956,Pcbp3
2090,0.9400788153475758,0.0505774384462174,0.9851977111501952,0.0383184974755283,1.3199222771852719,Aaas
2105,0.9994649453924734,0.0345766330598551,0.9846684341000848,0.0171358599789769,2.0177938604934558,Arpc4
2107,0.9728153698331614,0.0484307039881668,0.9465146144883684,0.0281514440097576,1.7203630467900752,Eif3e
2113,0.994808282808918,0.0416863962874964,0.9959372787520258,0.0220962958268247,1.8865784842041036,Cdc42
2115,0.9375173655605864,0.0356627642182697,0.9945883197220234,0.0213195804753728,1.6727704496561435,Rps20
2123,0.9971708349561936,0.0334229071742126,0.994278629602218,0.0165223003786222,2.0228967158506377,Actr2
2124,0.9929989187423276,0.0417881942534804,0.9911857071225236,0.0199921956636096,2.0902253537636457,Actr1a
2125,0.947079730930764,0.0367034852955555,0.996131720551802,0.0155392668136035,2.3619830804001807,Cops2
2126,0.9682770980577352,0.0330461830347041,0.938763967524891,0.0183383160534212,1.8020293105668772,Abce1
2128,0.9800019481479764,0.0339874818637104,0.9565336553268488,0.0192504547483179,1.765541765535706,Rpl26
2129,0.9812832749120034,0.0420252434165053,0.9894612442877172,0.0225934645482159,1.860061936354238,Psme3
2130,0.9588872405296404,0.045433173403792,0.9734075914823996,0.0287129859125195,1.582321446547366,Rpl27
2133,0.9943694761455886,0.0522877619786928,0.9907876498567296,0.0273076859293116,1.9147635619526449,Sec61a1
2134,0.9945379824714258,0.0514904212990534,0.998708737594896,0.0222805239906318,2.3110058507018674,Arf4
2143,0.9950859697031657,0.03762215862428,0.9919268798454935,0.0164971958240623,2.2805183999456125,Hnrnpk
2144,0.9590335248575672,0.036740241578299,0.9807912509212704,0.0145347224958004,2.5277566591941856,Ywhag
2146,0.959805812113234,0.0351147174177747,0.9933172321480792,0.0241326679818817,1.4550698432572018,Rps7
2147,0.9917496108108296,0.0625322387635222,0.997382630310464,0.0357130118870423,1.7509651373372594,Ppp1ca
2149,0.9601541075521374,0.032568772594906,0.9833857919307358,0.0132803464040245,2.452403845809045,Psmc1
2151,0.982928646988336,0.0344804684677787,0.9754353415988842,0.0236783460474466,1.4562025742290798,Rps8
2154,0.9358685483711612,0.0322637334105667,0.9766707570577228,0.0149346797818023,2.160323079031103,Ywhae
2155,0.997753191574156,0.031359959537194,0.9905745279593888,0.0169194711115566,1.8534834410854624,Rps14
2156,0.9477989488095871,0.0308674793204225,0.99246172363476,0.0199853930794237,1.5445019869137644,Rps23
2158,0.9852268946798144,0.0327755523497947,0.9882692117555516,0.0181845896266108,1.8023806433240546,Rps13
2164,0.979936349480841,0.0358351572304625,0.970372743508028,0.0182692803084036,1.9614980243079887,Psmc6
2169,0.9307350594003936,0.0334581757847463,0.9928744561598968,0.0197765864940658,1.6918074205973728,Rps4x
2172,0.9716722249583812,0.1458938397106315,0.9844511588347952,0.0788288721432675,1.8507665496656707,Rhob
