,Protein_group_ID,k_computed,r_sq
0,1295,0.1819770653947452,0.8826664814046674
1,485,0.03620631630768818,0.999469088935456
2,1151,0.03715195025891354,0.33966232277281916
3,2204,0.042947279658932684,0.9675573430417864
4,2863,0.045586411019574787,0.9680756544507213
5,3615,0.07134583881910068,0.9740832991427855
6,3340,0.03112665582565976,0.9585269760099916
7,4578,0.025151044080346782,0.8694094654420215
8,2477,0.032789571893747496,0.9924775816495329
9,3614,0.0564765250479674,-0.09366325926167685
10,1382,0.047216526051275166,0.4545973476906239
11,1467,0.054102281709716926,0.886677917356913
12,3244,0.03980136087153474,0.9927504914106594
13,701,0.03592102029224487,0.9387449212866998
14,453,0.04828586112319389,0.30184744683748255
15,480,0.05279046360349202,0.9355413276344148
16,1824,0.035900870864954054,0.8561596798854965
17,2054,0.02863710156518032,0.9074739458908044
18,3075,0.03100631924881336,0.9858101550297805
19,422,0.046575075935875294,0.9932911564015413
20,1349,0.03380430121502733,0.9005451844867194
21,3094,0.1667578949476641,0.9424290497386734
22,3103,0.11044046579097065,0.9999920264084996
23,2947,0.030346284734006284,0.9988456034015805
24,2544,0.11910277271624498,0.9251884400647484
25,2330,0.03267418336553566,0.7821362666779499
26,1801,0.0417530917773267,0.9564583755468684
27,4487,0.038622162049679755,0.9941760538290607
28,994,0.0428448654914384,0.5906472110669649
29,3015,0.045834835258078736,0.9141946422848842
30,1865,0.044433307412706555,0.9779704744886207
31,627,0.05727024858759852,0.10918514976842675
32,5071,0.04509609955790992,0.9908542674914149
33,4432,0.08149694608168469,0.39553803711979274
34,5081,0.02849076500766231,0.9996354764390133
35,4732,0.11260795592116843,0.9138800330918618
36,99,0.06791615946963366,0.9305432933471659
37,2741,0.027219178238914808,0.7853061110614484
38,2823,0.041685382223129674,0.013300984036642483
39,1114,0.07807011589842941,0.9812075801988942
40,3933,0.04086360828561391,0.5792323568530597
41,3054,0.03807738998265169,0.9163500925431625
42,4637,0.03612587314430237,0.7639383608141607
43,3993,0.16211921394091042,0.9409812305338728
44,988,0.06592865621713018,0.9270383850479007
45,4842,0.03473230586665742,0.9347974350475916
46,4601,0.11819940747251517,0.9986735025508927
47,4624,0.10921146272995465,0.9685014015915067
48,473,0.06638320376253923,0.9349128019732532
49,93,0.034255230547908175,0.9948973275417405
50,1784,0.0032274121033992018,-0.39996843989832676
51,162,0.082670155159796,0.41212973434153255
52,1869,0.041607203764968244,0.9526869136956339
53,5076,0.0849288660754845,0.5496484067824785
54,1722,0.03514533570504467,0.4140453468738503
55,1045,0.06436200029430282,0.8925064005149749
56,3230,0.02899132901171604,0.8594755517483457
57,3143,0.1952147288534201,0.9506902682399125
58,3082,0.039666472257686665,0.9724475167541775
59,4282,0.05213419231227269,0.9401603960198424
60,3589,0.05613062677542029,0.9997429996632032
61,2896,0.04317426553257374,0.8757027706712815
62,3961,0.03957107230666403,0.9600215631044051
63,88,0.04439836639352332,0.892588796759847
64,3044;585,0.11524244502007472,0.6230056764910814
65,462,0.06668750318784655,0.5940118844706718
66,4796,0.02695374607311444,0.9783475293189662
67,353,0.06459931073287173,-0.09367253344392212
68,3894,0.0609952075177001,0.9843699114807226
69,3048,0.08323298646688078,0.9999567341085993
70,4295,0.03807440253673968,0.9985764205995338
71,3882,0.11024852146448916,0.9982808609403478
72,998,0.19472962680342112,0.9571932625992711
73,3651,0.09490411096717007,0.09911202029364807
74,2746,0.02853206767004129,0.9874752091952645
75,1166,0.03400197414518743,-0.10185551646259872
76,3623,0.03180277741105209,0.9904202062337197
77,4117,0.04253588195442264,0.9998765892803431
78,3055,0.03282773156541676,0.4676073710602707
79,1398,0.07123841407263001,0.9888578429580577
80,2246,0.03147726098767378,0.9869739747177355
81,3276,0.05568146063881496,-0.12867003916720177
82,3531,0.07947607219372338,-0.14896055535573738
83,1742,0.037444835267986414,0.9808400212423366
84,2194,0.04675221792102493,0.9979290790630367
85,1758,0.03635614198069383,0.9644295039868096
86,113,0.047052132624963494,0.9973195386658226
87,982,0.03531128244522163,0.8104486865222951
88,1389,0.04667924145632613,0.9870914080661313
89,2016;2017,0.03002151657108879,0.9895515811202351
90,909,0.14286972663671826,0.9794908766245738
91,3027,0.05883359755227429,0.9605148328819477
92,2393,0.06522870860863156,0.9223913809950701
93,1726,0.04087272819254143,0.9496016805530567
94,1173,0.033632170570666794,0.8156906735813565
95,5182,0.07075739800288573,0.314778906669404
96,600,0.04410413507049532,0.9996226226308608
97,10,0.049056817965560925,0.14744493947659942
98,4929;4930,0.04889631476441011,0.8985531877324375
99,2809,0.07516826156126526,0.917572096768997
100,4101,0.028132523795913175,0.6353025286541996
101,3115,0.03589131453705055,0.996290219028345
102,2698,0.037518050613032476,0.9652007687499247
103,1274,0.09027394899658686,0.9781017688314797
104,2980,0.04317171532426212,0.6976209150216126
105,3168,0.033496080548416754,0.8608188796582205
106,3606,0.04728234296378752,0.734837441766417
107,1158,0.04209326053571986,0.9645947931685511
108,2553,0.06878391164886186,-0.2531123016972605
109,1812,0.06382325605169752,0.9757423022639476
110,4725,0.0436238350100324,0.9877540944125917
111,1230,0.07123290726304077,-0.3989036988474899
112,4041,0.04722984583611898,0.3394395444874774
113,2218,0.030429375668084596,0.9903092943773684
114,2814,0.04187806604325041,0.5278421146467289
115,1842,0.0297958052747996,0.8954005442682372
116,3581,0.03286911095025121,0.8243572780009789
117,2706,0.03521838431060267,0.8820031450752541
118,588,0.05852146286551453,0.9902027854431983
119,3688,0.04541976469881088,0.8221082786515643
120,1535,0.03395578311667342,0.9743051651517006
121,165,0.0600719750518236,0.9594809316981802
122,1031,0.04038704829391112,0.9885345572506347
123,1093,0.04897311811808219,0.9956608562217375
124,1299,0.05716662591170807,0.980669346326254
125,2462,0.10401573412643292,0.9637545982765346
126,712,0.03427861702078902,0.5211237619464211
127,2154,0.03226373341056679,0.9358685483711611
128,4509,0.032177444692576725,0.5680980626034609
129,3699,0.039130718753584946,0.11800839810263741
130,4845,0.04273588316989762,0.9810322343594758
131,2860,0.09192016994896614,0.9843312390270953
132,3824,0.06529383340262283,0.8831135820968996
133,1942,0.03829539403831826,0.9856093376952165
134,4821,0.09305903265050068,0.9803468072838631
135,542,0.046173572186721565,0.8096633614631102
136,2893,0.03217026048648578,0.12194110783790357
137,4281,0.04672300940421788,-0.24078347407521017
138,3338,0.043708118108199655,0.906946228598887
139,4344,0.034251440820792144,0.9580592884922942
140,3219,0.03688930650928625,0.6564629868209919
141,3862,0.03898254242075087,0.9831983150931682
142,4888,0.04529420791959709,0.1773732558957779
143,1641,0.05141305654605559,0.9333634049679825
144,2065,0.04066418003192294,0.9356923208565695
145,3026,0.03444071877816366,0.9607989029533077
146,1965,0.03849838390825896,0.9813188456469573
147,350,0.03288754619759163,0.9597910555020889
148,4384,0.0556016347516249,0.9801615579233687
149,3061,0.05260484581505527,0.9946170037224837
150,2919,0.04064047222537041,0.950384475015487
151,2048,0.03692574360832549,0.7476883996974328
152,1709,0.04081005082308988,0.9034739432959099
153,1232,0.05177022752410798,0.9993563429855068
154,1120,0.044138625525866663,0.9837778113314252
155,3754,0.04305616931292931,0.9948123869439385
156,612,0.06203745447693236,0.9482525878996534
157,2084,0.03872105517522003,0.9254122783258477
158,3190,0.03840047712307758,0.8873165205394777
159,1181,0.0382667269743118,0.6906669780279917
160,3362,0.057543017738241824,0.9572875272972372
161,3083,0.06169044583251211,0.9721595900690417
162,4518,0.028344205130391344,0.9895885964480324
163,2231,0.028875859477419694,0.9591273569389911
164,4507,0.031707572724160756,0.6178565038188751
165,1956,0.03591378138795786,0.5898275947966325
166,5005,0.03274055448602144,0.8032093523640731
167,2272,0.04352707641134031,0.9980995282981057
168,3158,0.04402214682297679,0.9348195221401008
169,1712,0.05780145455577294,0.9692566634575789
170,1935,0.07570102209504113,0.05004265101250205
171,1995,0.027338123684366538,0.8150643384336813
172,1951,0.03218040563782758,0.9467134191650567
173,2274,0.04505786086205636,0.9715824380589065
174,2102,0.05089970627144711,0.9931282645515859
175,3771,0.0313607510971503,0.9889430719931915
176,4375,0.03394844886503204,0.9911876090593439
177,1564,0.029629387466925464,0.9619809769500444
178,2559,0.05256599669315452,0.9655929864581468
179,3523,0.03709729696304325,0.9366714924815505
180,3394;2069,0.032647934042822346,0.9786324756036237
181,3394,0.03379194134616954,0.9995038453416134
182,2069,0.009510147217140339,0.13081979010839795
183,2448,0.04711278638899636,0.9751511173996898
184,2356,0.09215548827196204,0.9872154697472
185,3450,0.06108873990835779,0.9743034816097832
186,3637,0.030523982810866133,0.9862912430064115
187,3479,0.14830960385445643,0.4509313917602521
188,2998,0.040008183010809335,0.20971861332694164
189,4847,0.038349121453925286,0.5790627682013958
190,1437,0.03650035697608232,0.8765358451605125
191,339,0.03140617188905556,0.985510542057513
192,1322,0.043547608498716195,-0.11757420288948706
193,1425,0.03727277322009574,0.9662534369803099
194,4371,0.03683483739217324,0.9854151899783282
195,4052,0.06725879857706013,-0.3984157211455983
196,1779,0.05821230283714851,0.27513651886891166
197,4667,0.05013942512060562,0.9523038071242954
198,3607,0.03812855927390903,0.9355455232573866
199,2551,0.0668518662197009,0.8534217007350988
200,4478,0.03877541839803047,0.5905753239254679
201,5060,0.0515058721924439,0.9936208873636342
202,2323,0.06381230826806931,0.9436829400642627
203,2760,0.03202891946130812,0.8398663899580441
204,394,0.060824258819970695,-0.36620789234374707
205,4701,0.050464436442926926,0.955009479267381
206,2974,0.04218615742971229,0.6974031108229497
207,2589,0.04562867793015668,0.9083628986031352
208,1387,0.05738798902938106,0.9487944563674225
209,2446,0.039441856156927246,0.9994063607775291
210,688,0.037461572965728926,0.9822240432132999
211,749,0.049615807219754615,0.7340568423199113
212,752,0.057947546564761136,0.9524558304245785
213,3046,0.06254281006904429,0.6461782837996619
214,1796,0.0470209725697737,0.028581960133039264
215,1519,0.07935607093539732,-0.288439571612902
216,3333,0.055114591694744704,0.9810445728898131
217,1325,0.03752370754394985,0.9904373719510705
218,3202,0.032810004717053864,0.8977472039770985
219,4485,0.028946885370412113,0.9912584659271669
220,3007,0.043692382527011346,0.9904119877758957
221,960,0.036187924866346664,0.9882933025532776
222,2183,0.034432894060783856,0.8077606103140622
223,3008,0.03398879657971708,0.3094847730246828
224,157,0.09054994031357821,0.9001149065026922
