,Protein_group_ID,k_computed,r_sq
0,1155,0.05269687852073259,0.9914172004777513
1,2204,0.02460497581504222,0.970729991551093
2,3615,0.03709743540369205,0.995843531652093
3,3340,0.016534845236294643,0.8855793289593206
4,3184,0.034151385903395934,0.9992681996798134
5,2477,0.022980618277675377,0.8889785215380951
6,3614,0.028386415676285474,0.6279058710056374
7,828,0.03112556063244996,0.9815343104062401
8,1382,0.04031071607669116,0.3310378001291918
9,1467,0.022296035210606947,0.9877549269800859
10,3244,0.020185438827105495,0.9906098455082609
11,701,0.023303390785157526,0.844661691182834
12,480,0.034682297156392206,0.16248870625702516
13,1824,0.0605703834950653,0.5595833047430898
14,2054,0.020907295254592593,-0.12610711688269194
15,3075,0.0158525916665475,0.9862831989281037
16,2947,0.022070123458901376,0.8961921744613213
17,2544,0.07509169427505899,-0.35935451753400693
18,2330,0.020620079766661355,0.1980242373908767
19,1801,0.021912932047924258,0.9716295805606402
20,994,0.015927511523728292,0.979554807457956
21,3015,0.029545770064952993,0.9604674811772347
22,1865,0.04468301211484465,-0.36730391337987167
23,5071,0.026998548035982263,0.9992271422392653
24,4432,0.09941088985934023,0.39575946903230896
25,4732,0.047043483611593266,0.918474852211828
26,2741,0.013694138227362505,0.6310850250852257
27,1114,0.03979267457852075,0.6238442691078208
28,3727,0.14013003042344097,0.131978774481048
29,4637,0.024403316341695066,0.5899023462855815
30,988,0.015399143241562888,0.8561056781820996
31,4842,0.01541817987693756,0.9840297231744168
32,4601,0.06177103261076723,0.9851720115746103
33,4624,0.06882402857924318,0.9481854239000808
34,93,0.019380138785697144,0.9907651881983023
35,1130,0.02579768333631486,0.9999811722723828
36,162,0.06143196148842872,0.08668606104533905
37,1869,0.02613962316382829,0.9626724509572807
38,1722,0.016832962385939714,0.35796835288529516
39,3230,0.017101805993206133,0.8862330996276733
40,3143,0.11741545169811647,0.9760987835280496
41,3082,0.020804707756576734,0.9834671901015886
42,2896,0.01965584627578034,0.5138254958780999
43,3961,0.019083686360419988,0.991331487322067
44,3044;585,0.06445933599732692,0.2980019448901101
45,3927,0.04277388957258775,-0.009801523252204403
46,4796,0.024202441224818426,0.12476600676241612
47,353,0.03985011170467212,-0.28449840749179
48,3894,0.02773404233889452,0.9004972231552261
49,3882,0.059238739304044226,0.9801451235473683
50,5048,0.01660123854691511,0.9943123927251298
51,998,0.1701095594443181,0.9703723261628108
52,3651,0.04045701741565831,0.9935680335902338
53,2746,0.012439099238763596,0.9829524011761368
54,3055,0.014899242246609252,0.8712203715320416
55,1398,0.0483024152315476,0.9919797130199598
56,1742,0.060591668559717406,0.13534748230999494
57,2194,0.02949615234598074,0.9280316837904169
58,1758,0.016212362633154172,0.2885527445590822
59,982,0.02156538563961407,0.9008325380586686
60,2016;2017,0.014629553059918206,0.9412122093349006
61,2393,0.03945524772286822,0.970641264670368
62,1726,0.017154733432951492,0.9990571322625554
63,1173,0.019654128808308365,0.6873663265212998
64,600,0.027347282477543495,0.9984596519847293
65,10,0.01573759504654127,0.9931204711772124
66,4101,0.01797539425179361,0.21922446693895603
67,3115,0.019671037670103624,0.4242190666570781
68,1274,0.047916821612656,0.9417783619380033
69,2980,0.03402859864745969,-0.07675278470888358
70,3168,0.01886683703812786,0.9661183270889891
71,3606,0.025491561772977234,0.97737513322583
72,2553,0.1261202732186471,0.0943639772536391
73,1812,0.039780636434398116,0.9454463729473301
74,4725,0.021452069174692587,0.914916376560979
75,2218,0.0151098461991504,0.9984992621311757
76,2814,0.025830596521878652,0.2922643538656874
